run_id,timestamp,pruning_ratio,importance_threshold,pruning_iterations,forget_weight,retention_weight,pareto_steps,adaptive_weights,phase1_epochs,phase2_epochs,refinement_epochs,learning_rate,use_gradient_masking,base_forget_accuracy,base_retain_accuracy,unlearned_forget_accuracy,unlearned_retain_accuracy,unlearning_effectiveness,retention_preservation,forget_accuracy_drop,retain_accuracy_change,pruned_parameters,total_parameters,pruning_ratio_actual,pareto_frontier_size,status,error_message
0,2025-12-01T00:41:18.244564,,,,,,,,,,,,,,,,,,,,,,,,,failed,"cross_entropy_loss(): argument 'input' (position 1) must be Tensor, not ImageClassifierOutput"
1,2025-12-01T00:43:08.233806,,,,,,,,,,,,,,,,,,,,,,,,,failed,"cross_entropy_loss(): argument 'input' (position 1) must be Tensor, not ImageClassifierOutput"
2,2025-12-01T00:44:58.236557,,,,,,,,,,,,,,,,,,,,,,,,,failed,"cross_entropy_loss(): argument 'input' (position 1) must be Tensor, not ImageClassifierOutput"
3,2025-12-01T00:46:48.270072,,,,,,,,,,,,,,,,,,,,,,,,,failed,"cross_entropy_loss(): argument 'input' (position 1) must be Tensor, not ImageClassifierOutput"
4,2025-12-01T00:48:37.652704,,,,,,,,,,,,,,,,,,,,,,,,,failed,"cross_entropy_loss(): argument 'input' (position 1) must be Tensor, not ImageClassifierOutput"
5,2025-12-01T00:50:27.716198,,,,,,,,,,,,,,,,,,,,,,,,,failed,"cross_entropy_loss(): argument 'input' (position 1) must be Tensor, not ImageClassifierOutput"
6,2025-12-01T00:52:18.268929,,,,,,,,,,,,,,,,,,,,,,,,,failed,"cross_entropy_loss(): argument 'input' (position 1) must be Tensor, not ImageClassifierOutput"
7,2025-12-01T00:54:08.795800,,,,,,,,,,,,,,,,,,,,,,,,,failed,"cross_entropy_loss(): argument 'input' (position 1) must be Tensor, not ImageClassifierOutput"
8,2025-12-01T00:55:59.014730,,,,,,,,,,,,,,,,,,,,,,,,,failed,"cross_entropy_loss(): argument 'input' (position 1) must be Tensor, not ImageClassifierOutput"
